1.1. Información Práctica,1.2. Historía y geografía,1.3. Gastronomía,1.4. Ocio,1.5. Arte y cultura,2.1. Transporte y movilidad,2.2. Gastronomía,2.3. Alojamiento,2.4. Ocio,2.5. Servicios y espacios públicos,2.6. Arte y cultura,2.7. Edificios y monumentos,2.8. Naturaleza y deportes,2.9. Profesionales,Ofertas,3.1. Plataformas sociales,3.2. Plataformas de viaje,4.1. Edad,4.2. Estado civil,4.3. Orientación sexual,5 Tipo de consulta,6 Motivación
Movilidad en destino,Destinos y localidades,Gastronomía,Ocio,Cultura,Cruceros,restaurantes,Alojamiento,discoteca,Wifi,galerías de arte,edificios,cuevas,ferias profesionales,Sí,Facebook,TripAdvisor,niños,solteros,LGTB,Informacional,Placer
Accesibilidad del destino,Ubicación,Enoturismo,Atracciones,Arte,Bus turístico,mercado,Albergue,pubs,Visitas guiadas,edificios y monumentos,palacios,estación naútica,recintos feriales,No,Twitter,Atrápalo,jóvenes,parejas,Heterosexual,Navegacional,Negocio
Agenda,Historia,comida tradicional,Salud y belleza,Patrimonio,Taxi,sidrería,Apartamento,clubs,consulado,centro de exposiciones,murallas,golf,,,Instagram,Kayak,adultos,,,Transaccional,
Consejos de viaje,Clima,enogastronomía,Fiestas,Artesanía,Avión,cafetería,cabaña pasiega,Venta de entradas,Oficinas y puntos de información turística,teatros,catedrales,puertos deportivos,,,Telegram,Govolo,adultos mayores,,,,
Rankings / Top ten,Naturaleza,,Festivales,Museos,Autobuses,mesón,camping,festivales,parques,cines,monasterios,buceo,,,Youtube,Airbnb,jubilados,,,,
Rutas,Población y demografía,,Salir de noche,Monumentos,Alquiler coche,taberna,casas de labranza,acuario,plazas,toros,molinos,submarinismo,,,Wechat,rumbo.es,,,,,
Zonas,Playa,,Ferias,Religión,tren,bodegas,hostal,parques temáticos,bibliotecas,museo arqueológico,santuarios,espeleología submarina,,,Sina Weibo,Booking,,,,,
Itinerarios,Mar,,Deportes,,tranvía,bar de tapas,hotel,zoológicos,plaza mayor,museo de arte contemporáneo,iglesias,descenso piragua,,,Qzone,Trip4real,,,,,
Planificador,Montaña,,,,barco,heladería,hotel apartamento,parque de atracciones,fuentes,museo de bellas artes,torres,rafting,,,Google+,Trivago,,,,,
Folletos y publicaciones,Nieve,,,,abono turístico,pastelería,palacio,teleférico,barrios,museo de ciencias,basílica,senderismo,,,Line,Hotels,,,,,
Audiovisuales,Rural,,,,abono transporte,asador,casona,planetario,archivos,museo de cerámica,capilla,parapente,,,WhatsApp,Marriott International,,,,,
Profesionales,,,,,metro,pizzería,pensión,miradores,centro histórico,museo de etnología,conventos,alta delta,,,Tumblr,Vacations Rentals by Owner,,,,,
,,,,,Alquiler bicicleta,cervecería,posada,paintball,actividades guiadas,museo de historia,parroquias,tirolina,,,Hi5,,,,,,
,,,,,parking,marisquería,vivienda rural,casinos,,museo del ferrocaril,alcazar,vuelo sin motor,,,Tagged,,,,,,
,,,,,ferri,brasería,refugio de montaña,parque acuáticos,,museo municipal,acueductos,vuelos panorámicos,,,Badoo,,,,,,
,,,,,muelles,,casa de aldea,visita diurna,,patios,casa museo,parajes naturales,,,Flickr,,,,,,
,,,,,puerto,,aparta-hotel,visita nocturna,,arte mobiliar,universidad,rutas bicicleta,,,Pinterest,,,,,,
,,,,,,,albergue juvenil,ferias festivas,,arquitectura civil,faros,Shopping,,,Foursquare,,,,,,
,,,,,,,parador,,,arquitectura militar,,Escalada,,,,,,,,,
,,,,,,,caravanas,,,arquitectura religiosa,,Naútica,,,,,,,,,
,,,,,,,agroturismo,,,patrimonio industrial,,,,,,,,,,,
,,,,,,,,,,mercado de artesanía,,,,,,,,,,,
,,,,,,,,,,exposiciones de fotografía,,,,,,,,,,,
,,,,,,,,,,conciertos,,,,,,,,,,,
,,,,,,,,,,musicales,,,,,,,,,,,
,,,,,,,,,,danza,,,,,,,,,,,
